Formatted address: 1030 Opal St, Broomfield, CO 80020, USA
Coordinates (latitude, longitude): (39.929514, -105.088194)
Elevation: (meters AMSL) 1653.179077148438	(feet): 5423.815870

Time sequence:
Start: 2015, 10, 01, 00, 00
Stop: 2015, 10, 02, 00, 00
Frequency: 3Min

Ephemeris:
                               azimuth      zenith
2015-10-01 00:00:00-06:00  339.640691  141.432725
2015-10-01 00:03:00-06:00  340.803080  141.628157
2015-10-01 00:06:00-06:00  341.975059  141.812528
2015-10-01 00:09:00-06:00  343.156135  141.985666
2015-10-01 00:12:00-06:00  344.345899  142.147415
2015-10-01 00:15:00-06:00  345.543833  142.297628
2015-10-01 00:18:00-06:00  346.749470  142.436158
2015-10-01 00:21:00-06:00  347.962184  142.562875
2015-10-01 00:24:00-06:00  349.181482  142.677653
2015-10-01 00:27:00-06:00  350.406736  142.780382
2015-10-01 00:30:00-06:00  351.637318  142.870954
2015-10-01 00:33:00-06:00  352.872626  142.949279
2015-10-01 00:36:00-06:00  354.111950  143.015283
2015-10-01 00:39:00-06:00  355.354662  143.068893
2015-10-01 00:42:00-06:00  356.600024  143.110055
2015-10-01 00:45:00-06:00  357.847408  143.138725
2015-10-01 00:48:00-06:00  359.096048  143.154875
2015-10-01 00:51:00-06:00    0.345236  143.158488
2015-10-01 00:54:00-06:00    1.594285  143.149558
2015-10-01 00:57:00-06:00    2.842467  143.128101
2015-10-01 01:00:00-06:00    4.089072  143.094131
2015-10-01 01:03:00-06:00    5.333396  143.047689
2015-10-01 01:06:00-06:00    6.574744  142.988823
2015-10-01 01:09:00-06:00    7.812435  142.917594
2015-10-01 01:12:00-06:00    9.045801  142.834071
2015-10-01 01:15:00-06:00   10.274191  142.738346
2015-10-01 01:18:00-06:00   11.496977  142.630511
2015-10-01 01:21:00-06:00   12.713548  142.510672
2015-10-01 01:24:00-06:00   13.923320  142.378952
2015-10-01 01:27:00-06:00   15.125736  142.235473
2015-10-01 01:30:00-06:00   16.320261  142.080380
2015-10-01 01:33:00-06:00   17.506393  141.913812
2015-10-01 01:36:00-06:00   18.683658  141.735927
2015-10-01 01:39:00-06:00   19.851612  141.546888
2015-10-01 01:42:00-06:00   21.009841  141.346859
2015-10-01 01:45:00-06:00   22.157965  141.136021
2015-10-01 01:48:00-06:00   23.295631  140.914552
2015-10-01 01:51:00-06:00   24.422521  140.682640
2015-10-01 01:54:00-06:00   25.538349  140.440472
2015-10-01 01:57:00-06:00   26.642854  140.188244
2015-10-01 02:00:00-06:00   27.735812  139.926149
2015-10-01 02:03:00-06:00   28.817022  139.654393
2015-10-01 02:06:00-06:00   29.886323  139.373173
2015-10-01 02:09:00-06:00   30.943564  139.082696
2015-10-01 02:12:00-06:00   31.988641  138.783161
2015-10-01 02:15:00-06:00   33.021458  138.474775
2015-10-01 02:18:00-06:00   34.041953  138.157741
2015-10-01 02:21:00-06:00   35.050089  137.832266
2015-10-01 02:24:00-06:00   36.045849  137.498549
2015-10-01 02:27:00-06:00   37.029232  137.156794
2015-10-01 02:30:00-06:00   38.000259  136.807204
2015-10-01 02:33:00-06:00   38.958979  136.449975
2015-10-01 02:36:00-06:00   39.905445  136.085308
2015-10-01 02:39:00-06:00   40.839733  135.713391
2015-10-01 02:42:00-06:00   41.761932  135.334418
2015-10-01 02:45:00-06:00   42.672143  134.948580
2015-10-01 02:48:00-06:00   43.570484  134.556063
2015-10-01 02:51:00-06:00   44.457080  134.157050
2015-10-01 02:54:00-06:00   45.332068  133.751719
2015-10-01 02:57:00-06:00   46.195599  133.340252
2015-10-01 03:00:00-06:00   47.047822  132.922814
2015-10-01 03:03:00-06:00   47.888901  132.499582
2015-10-01 03:06:00-06:00   48.719005  132.070718
2015-10-01 03:09:00-06:00   49.538310  131.636389
