Formatted address: 1695 Redwood Ave, Boulder, CO 80304, USA
Coordinates: (40.049121, -105.27562)
Elevation: 1663.733642578125

Time sequence:
Start: 2015, 7, 1, 2
Stop: 2015, 7, 1, 12
Frequency: 3Min

Ephemeris:
                               azimuth      zenith
2015-07-01 02:00:00-06:00   14.052882  115.542799
2015-07-01 02:03:00-06:00   14.800241  115.399918
2015-07-01 02:06:00-06:00   15.544957  115.249811
2015-07-01 02:09:00-06:00   16.286919  115.092529
2015-07-01 02:12:00-06:00   17.026024  114.928124
2015-07-01 02:15:00-06:00   17.762168  114.756652
2015-07-01 02:18:00-06:00   18.495254  114.578173
2015-07-01 02:21:00-06:00   19.225188  114.392742
2015-07-01 02:24:00-06:00   19.951881  114.200419
2015-07-01 02:27:00-06:00   20.675244  114.001269
2015-07-01 02:30:00-06:00   21.395199  113.795355
2015-07-01 02:33:00-06:00   22.111665  113.582741
2015-07-01 02:36:00-06:00   22.824571  113.363492
2015-07-01 02:39:00-06:00   23.533847  113.137676
2015-07-01 02:42:00-06:00   24.239426  112.905362
2015-07-01 02:45:00-06:00   24.941249  112.666618
2015-07-01 02:48:00-06:00   25.639256  112.421515
2015-07-01 02:51:00-06:00   26.333396  112.170126
2015-07-01 02:54:00-06:00   27.023620  111.912521
2015-07-01 02:57:00-06:00   27.709883  111.648771
2015-07-01 03:00:00-06:00   28.392142  111.378953
2015-07-01 03:03:00-06:00   29.070361  111.103138
2015-07-01 03:06:00-06:00   29.744507  110.821403
2015-07-01 03:09:00-06:00   30.414549  110.533820
2015-07-01 03:12:00-06:00   31.080462  110.240465
2015-07-01 03:15:00-06:00   31.742222  109.941412
2015-07-01 03:18:00-06:00   32.399815  109.636739
2015-07-01 03:21:00-06:00   33.053218  109.326521
2015-07-01 03:24:00-06:00   33.702424  109.010833
2015-07-01 03:27:00-06:00   34.347423  108.689751
2015-07-01 03:30:00-06:00   34.988211  108.363349
2015-07-01 03:33:00-06:00   35.624785  108.031705
2015-07-01 03:36:00-06:00   36.257141  107.694894
2015-07-01 03:39:00-06:00   36.885289  107.352990
2015-07-01 03:42:00-06:00   37.509230  107.006068
2015-07-01 03:45:00-06:00   38.128978  106.654204
2015-07-01 03:48:00-06:00   38.744542  106.297472
2015-07-01 03:51:00-06:00   39.355936  105.935945
2015-07-01 03:54:00-06:00   39.963174  105.569696
2015-07-01 03:57:00-06:00   40.566280  105.198800
2015-07-01 04:00:00-06:00   41.165274  104.823329
2015-07-01 04:03:00-06:00   41.760180  104.443355
2015-07-01 04:06:00-06:00   42.351018  104.058950
2015-07-01 04:09:00-06:00   42.937824  103.670184
2015-07-01 04:12:00-06:00   43.520623  103.277128
2015-07-01 04:15:00-06:00   44.099444  102.879852
2015-07-01 04:18:00-06:00   44.674324  102.478424
2015-07-01 04:21:00-06:00   45.245297  102.072914
2015-07-01 04:24:00-06:00   45.812401  101.663390
2015-07-01 04:27:00-06:00   46.375670  101.249917
2015-07-01 04:30:00-06:00   46.935144  100.832564
2015-07-01 04:33:00-06:00   47.490865  100.411396
2015-07-01 04:36:00-06:00   48.042874   99.986477
2015-07-01 04:39:00-06:00   48.591216   99.557872
2015-07-01 04:42:00-06:00   49.135934   99.125645
2015-07-01 04:45:00-06:00   49.677076   98.689858
2015-07-01 04:48:00-06:00   50.214683   98.250574
2015-07-01 04:51:00-06:00   50.748808   97.807853
2015-07-01 04:54:00-06:00   51.279496   97.361756
2015-07-01 04:57:00-06:00   51.806797   96.912344
2015-07-01 05:00:00-06:00   52.330761   96.459675
2015-07-01 05:03:00-06:00   52.851444   96.003807
2015-07-01 05:06:00-06:00   53.368889   95.544798
2015-07-01 05:09:00-06:00   53.883154   95.082704
