Formatted address: Alma, CO, USA
Coordinates: (39.2838783, -106.0627967)
Elevation: 3159.572998046875

Time sequence:
Start: 2015, 7, 1, 0
Stop: 2015, 7, 6, 2
Frequency: 10Min

Ephemeris:
                               azimuth      zenith
2015-07-01 00:00:00-06:00  342.651029  115.603063
2015-07-01 00:10:00-06:00  345.135223  116.140310
2015-07-01 00:20:00-06:00  347.650099  116.595978
2015-07-01 00:30:00-06:00  350.191230  116.968259
2015-07-01 00:40:00-06:00  352.753644  117.255633
2015-07-01 00:50:00-06:00  355.332040  117.456903
2015-07-01 01:00:00-06:00  357.920900  117.571220
2015-07-01 01:10:00-06:00    0.514442  117.598095
2015-07-01 01:20:00-06:00    3.106879  117.537414
2015-07-01 01:30:00-06:00    5.692397  117.389434
2015-07-01 01:40:00-06:00    8.265315  117.154786
2015-07-01 01:50:00-06:00   10.820172  116.834459
2015-07-01 02:00:00-06:00   13.351811  116.429774
2015-07-01 02:10:00-06:00   15.855456  115.942366
2015-07-01 02:20:00-06:00   18.326777  115.374154
2015-07-01 02:30:00-06:00   20.761933  114.727296
2015-07-01 02:40:00-06:00   23.157601  114.004165
2015-07-01 02:50:00-06:00   25.510994  113.207306
2015-07-01 03:00:00-06:00   27.819863  112.339396
2015-07-01 03:10:00-06:00   30.082479  111.403214
2015-07-01 03:20:00-06:00   32.297618  110.401604
2015-07-01 03:30:00-06:00   34.464527  109.337449
2015-07-01 03:40:00-06:00   36.582889  108.213630
2015-07-01 03:50:00-06:00   38.652788  107.033018
2015-07-01 04:00:00-06:00   40.674658  105.798444
2015-07-01 04:10:00-06:00   42.649248  104.512687
2015-07-01 04:20:00-06:00   44.577585  103.178450
2015-07-01 04:30:00-06:00   46.460931  101.798364
2015-07-01 04:40:00-06:00   48.300741  100.374964
2015-07-01 04:50:00-06:00   50.098649   98.910698
2015-07-01 05:00:00-06:00   51.856422   97.407912
2015-07-01 05:10:00-06:00   53.575942   95.868854
2015-07-01 05:20:00-06:00   55.259191   94.295674
2015-07-01 05:30:00-06:00   56.908221   92.690423
2015-07-01 05:40:00-06:00   58.525145   91.055056
2015-07-01 05:50:00-06:00   60.112133   89.391436
2015-07-01 06:00:00-06:00   61.671397   87.701336
2015-07-01 06:10:00-06:00   63.205191   85.986447
2015-07-01 06:20:00-06:00   64.715790   84.248378
2015-07-01 06:30:00-06:00   66.205536   82.488664
2015-07-01 06:40:00-06:00   67.676786   80.708774
2015-07-01 06:50:00-06:00   69.131965   78.910110
2015-07-01 07:00:00-06:00   70.573524   77.094016
2015-07-01 07:10:00-06:00   72.004011   75.261789
2015-07-01 07:20:00-06:00   73.426036   73.414677
2015-07-01 07:30:00-06:00   74.842317   71.553891
2015-07-01 07:40:00-06:00   76.255667   69.680607
2015-07-01 07:50:00-06:00   77.669059   67.795982
2015-07-01 08:00:00-06:00   79.085620   65.901151
2015-07-01 08:10:00-06:00   80.508690   63.997239
2015-07-01 08:20:00-06:00   81.941834   62.085375
2015-07-01 08:30:00-06:00   83.388905   60.166697
2015-07-01 08:40:00-06:00   84.854083   58.242356
2015-07-01 08:50:00-06:00   86.341972   56.313548
2015-07-01 09:00:00-06:00   87.857625   54.381506
2015-07-01 09:10:00-06:00   89.406678   52.447535
2015-07-01 09:20:00-06:00   90.995441   50.513024
2015-07-01 09:30:00-06:00   92.631019   48.579469
2015-07-01 09:40:00-06:00   94.321484   46.648502
2015-07-01 09:50:00-06:00   96.076077   44.721932
2015-07-01 10:00:00-06:00   97.905414   42.801781
2015-07-01 10:10:00-06:00   99.821780   40.890349
2015-07-01 10:20:00-06:00  101.839480   38.990269
2015-07-01 10:30:00-06:00  103.975253   37.104604
2015-07-01 10:40:00-06:00  106.248763   35.236954
2015-07-01 10:50:00-06:00  108.683227   33.391577
2015-07-01 11:00:00-06:00  111.306054   31.573599
2015-07-01 11:10:00-06:00  114.149680   29.789205
2015-07-01 11:20:00-06:00  117.252355   28.045943
2015-07-01 11:30:00-06:00  120.658898   26.353067
2015-07-01 11:40:00-06:00  124.421103   24.721997
2015-07-01 11:50:00-06:00  128.597449   23.166777
2015-07-01 12:00:00-06:00  133.251308   21.704672
2015-07-01 12:10:00-06:00  138.446596   20.356632
2015-07-01 12:20:00-06:00  144.239238   19.147565
2015-07-01 12:30:00-06:00  150.663359   18.106030
2015-07-01 12:40:00-06:00  157.712155   17.262993
2015-07-01 12:50:00-06:00  165.317270   16.649103
2015-07-01 13:00:00-06:00  173.335598   16.290627
2015-07-01 13:10:00-06:00  181.555294   16.204717
2015-07-01 13:20:00-06:00  189.726673   16.395710
2015-07-01 13:30:00-06:00  197.609367   16.854097
2015-07-01 13:40:00-06:00  205.015395   17.558734
2015-07-01 13:50:00-06:00  211.830695   18.481130
2015-07-01 14:00:00-06:00  218.012521   19.590100
2015-07-01 14:10:00-06:00  223.572159   20.855379
2015-07-01 14:20:00-06:00  228.554044   22.249701
2015-07-01 14:30:00-06:00  233.018433   23.749672
2015-07-01 14:40:00-06:00  237.029776   25.335785
2015-07-01 14:50:00-06:00  240.649967   26.992085
2015-07-01 15:00:00-06:00  243.935015   28.705575
2015-07-01 15:10:00-06:00  246.934069   30.465722
2015-07-01 15:20:00-06:00  249.689340   32.263967
2015-07-01 15:30:00-06:00  252.236782   34.093327
2015-07-01 15:40:00-06:00  254.606831   35.948038
2015-07-01 15:50:00-06:00  256.825221   37.823338
2015-07-01 16:00:00-06:00  258.913729   39.715232
2015-07-01 16:10:00-06:00  260.890851   41.620339
2015-07-01 16:20:00-06:00  262.772322   43.535780
2015-07-01 16:30:00-06:00  264.571640   45.459049
2015-07-01 16:40:00-06:00  266.300442   47.387966
2015-07-01 16:50:00-06:00  267.968757   49.320595
2015-07-01 17:00:00-06:00  269.585381   51.255199
2015-07-01 17:10:00-06:00  271.157991   53.190202
2015-07-01 17:20:00-06:00  272.693363   55.124149
2015-07-01 17:30:00-06:00  274.197534   57.055692
2015-07-01 17:40:00-06:00  275.675943   58.983554
