Formatted address: Broomfield, CO, USA
Coordinates (latitude, longitude): (39.9205411, -105.0866504)
Elevation: (meters AMSL) 1640.109008789062	(feet): 5380.935068

Time sequence:
Start: 2015, 10, 01, 00, 00
Stop: 2015, 10, 05, 00, 00
Frequency: 30Min

Ephemeris:
                               azimuth      zenith
2015-10-01 00:00:00-06:00  339.639134  141.441549
2015-10-01 00:30:00-06:00  351.638137  142.880004
2015-10-01 01:00:00-06:00    4.092487  143.102996
2015-10-01 01:30:00-06:00   16.325947  142.088658
2015-10-01 02:00:00-06:00   27.743013  139.933543
2015-10-01 02:30:00-06:00   38.008131  136.813546
2015-10-01 03:00:00-06:00   47.055670  132.928060
2015-10-01 03:30:00-06:00   54.993937  128.460119
2015-10-01 04:00:00-06:00   62.004635  123.560312
2015-10-01 04:30:00-06:00   68.280465  118.346263
2015-10-01 05:00:00-06:00   73.997655  112.908485
2015-10-01 05:30:00-06:00   79.308721  107.317369
2015-10-01 06:00:00-06:00   84.344346  101.629384
2015-10-01 06:30:00-06:00   89.218472   95.892052
2015-10-01 07:00:00-06:00   94.034138   90.147943
2015-10-01 07:30:00-06:00   98.889036   84.438016
2015-10-01 08:00:00-06:00  103.880668   78.804669
2015-10-01 08:30:00-06:00  109.110961   73.294792
2015-10-01 09:00:00-06:00  114.690132   67.963110
2015-10-01 09:30:00-06:00  120.738975   62.875968
2015-10-01 10:00:00-06:00  127.387686   58.115495
2015-10-01 10:30:00-06:00  134.767951   53.783663
2015-10-01 11:00:00-06:00  142.992947   50.004622
2015-10-01 11:30:00-06:00  152.120252   46.922328
2015-10-01 12:00:00-06:00  162.099814   44.688955
2015-10-01 12:30:00-06:00  172.727192   43.440926
2015-10-01 13:00:00-06:00  183.642845   43.266439
2015-10-01 13:30:00-06:00  194.407032   44.178682
2015-10-01 14:00:00-06:00  204.622851   46.111469
2015-10-01 14:30:00-06:00  214.032898   48.940287
2015-10-01 15:00:00-06:00  222.541442   52.514904
2015-10-01 15:30:00-06:00  230.177648   56.687002
2015-10-01 16:00:00-06:00  237.041715   61.325572
2015-10-01 16:30:00-06:00  243.262214   66.321751
2015-10-01 17:00:00-06:00  248.971078   71.587572
2015-10-01 17:30:00-06:00  254.292341   77.052238
2015-10-01 18:00:00-06:00  259.339250   82.657904
2015-10-01 18:30:00-06:00  264.215869   88.355751
2015-10-01 19:00:00-06:00  269.020470   94.102537
2015-10-01 19:30:00-06:00  273.849932   99.857486
2015-10-01 20:00:00-06:00  278.804825  105.579281
2015-10-01 20:30:00-06:00  283.994922  111.222870
2015-10-01 21:00:00-06:00  289.545188  116.735734
2015-10-01 21:30:00-06:00  295.601408  122.053255
2015-10-01 22:00:00-06:00  302.334171  127.092838
2015-10-01 22:30:00-06:00  309.936089  131.746936
2015-10-01 23:00:00-06:00  318.603354  135.876075
2015-10-01 23:30:00-06:00  328.486228  139.305927
2015-10-02 00:00:00-06:00  339.597388  141.836539
2015-10-02 00:30:00-06:00  351.699800  143.274089
2015-10-02 01:00:00-06:00    4.263483  143.485381
2015-10-02 01:30:00-06:00   16.592346  142.449313
2015-10-02 02:00:00-06:00   28.077461  140.266125
2015-10-02 02:30:00-06:00   38.381708  137.116243
2015-10-02 03:00:00-06:00   47.445872  133.202548
2015-10-02 03:30:00-06:00   55.386496  128.709991
2015-10-02 04:00:00-06:00   62.391954  123.789854
2015-10-02 04:30:00-06:00   68.659377  118.559773
2015-10-02 05:00:00-06:00   74.367619  113.109974
2015-10-02 05:30:00-06:00   79.670625  107.510508
2015-10-02 06:00:00-06:00   84.699803  101.817528
2015-10-02 06:30:00-06:00   89.569414   96.078327
2015-10-02 07:00:00-06:00   94.382559   90.335331
