Formatted address: Vancouver, BC, Canada
Coordinates (latitude, longitude): (49.2827291, -123.1207375)
Elevation: (meters AMSL) 43.65213012695312	(feet): 143.215650

Time sequence:
Start: 2015, 07, 01, 00, 00
Stop: 2015, 07, 05, 00, 00
Frequency: 3Min

Ephemeris:
                               azimuth      zenith
2015-07-01 00:00:00-06:00  328.289682  101.503160
2015-07-01 00:03:00-06:00  328.943959  101.758029
2015-07-01 00:06:00-06:00  329.600750  102.008103
2015-07-01 00:09:00-06:00  330.260055  102.253333
2015-07-01 00:12:00-06:00  330.921873  102.493666
2015-07-01 00:15:00-06:00  331.586123  102.729052
2015-07-01 00:18:00-06:00  332.252858  102.959441
2015-07-01 00:21:00-06:00  332.921998  103.184784
2015-07-01 00:24:00-06:00  333.593542  103.405030
2015-07-01 00:27:00-06:00  334.267464  103.620133
2015-07-01 00:30:00-06:00  334.943707  103.830045
2015-07-01 00:33:00-06:00  335.622273  104.034717
2015-07-01 00:36:00-06:00  336.303079  104.234104
2015-07-01 00:39:00-06:00  336.986152  104.428160
2015-07-01 00:42:00-06:00  337.671384  104.616840
2015-07-01 00:45:00-06:00  338.358802  104.800101
2015-07-01 00:48:00-06:00  339.048295  104.977898
2015-07-01 00:51:00-06:00  339.739866  105.150189
2015-07-01 00:54:00-06:00  340.433430  105.316935
2015-07-01 00:57:00-06:00  341.128962  105.478091
2015-07-01 01:00:00-06:00  341.826434  105.633623
2015-07-01 01:03:00-06:00  342.525736  105.783490
2015-07-01 01:06:00-06:00  343.226841  105.927655
2015-07-01 01:09:00-06:00  343.929695  106.066080
2015-07-01 01:12:00-06:00  344.634215  106.198734
2015-07-01 01:15:00-06:00  345.340375  106.325581
2015-07-01 01:18:00-06:00  346.048092  106.446588
2015-07-01 01:21:00-06:00  346.757311  106.561727
2015-07-01 01:24:00-06:00  347.467952  106.670965
2015-07-01 01:27:00-06:00  348.179958  106.774275
2015-07-01 01:30:00-06:00  348.893248  106.871629
2015-07-01 01:33:00-06:00  349.607768  106.963004
2015-07-01 01:36:00-06:00  350.323435  107.048374
2015-07-01 01:39:00-06:00  351.040168  107.127715
2015-07-01 01:42:00-06:00  351.757911  107.201008
2015-07-01 01:45:00-06:00  352.476584  107.268233
2015-07-01 01:48:00-06:00  353.196076  107.329372
2015-07-01 01:51:00-06:00  353.916361  107.384408
2015-07-01 01:54:00-06:00  354.637328  107.433325
2015-07-01 01:57:00-06:00  355.358924  107.476113
2015-07-01 02:00:00-06:00  356.081011  107.512759
2015-07-01 02:03:00-06:00  356.803563  107.543250
2015-07-01 02:06:00-06:00  357.526498  107.567581
2015-07-01 02:09:00-06:00  358.249706  107.585746
2015-07-01 02:12:00-06:00  358.973105  107.597737
2015-07-01 02:15:00-06:00  359.696640  107.603552
2015-07-01 02:18:00-06:00    0.420216  107.603190
2015-07-01 02:21:00-06:00    1.143739  107.596652
2015-07-01 02:24:00-06:00    1.867133  107.583938
2015-07-01 02:27:00-06:00    2.590317  107.565052
2015-07-01 02:30:00-06:00    3.313207  107.539999
2015-07-01 02:33:00-06:00    4.035723  107.508787
2015-07-01 02:36:00-06:00    4.757781  107.471422
2015-07-01 02:39:00-06:00    5.479302  107.427918
2015-07-01 02:42:00-06:00    6.200205  107.378283
2015-07-01 02:45:00-06:00    6.920411  107.322533
2015-07-01 02:48:00-06:00    7.639840  107.260680
2015-07-01 02:51:00-06:00    8.358414  107.192746
2015-07-01 02:54:00-06:00    9.076058  107.118744
2015-07-01 02:57:00-06:00    9.792694  107.038696
2015-07-01 03:00:00-06:00   10.508249  106.952623
2015-07-01 03:03:00-06:00   11.222647  106.860549
2015-07-01 03:06:00-06:00   11.935820  106.762497
2015-07-01 03:09:00-06:00   12.647694  106.658492
2015-07-01 03:12:00-06:00   13.358200  106.548563
2015-07-01 03:15:00-06:00   14.067271  106.432738
2015-07-01 03:18:00-06:00   14.774842  106.311047
2015-07-01 03:21:00-06:00   15.480846  106.183520
2015-07-01 03:24:00-06:00   16.185223  106.050192
2015-07-01 03:27:00-06:00   16.887909  105.911095
2015-07-01 03:30:00-06:00   17.588845  105.766264
2015-07-01 03:33:00-06:00   18.287977  105.615735
2015-07-01 03:36:00-06:00   18.985247  105.459546
2015-07-01 03:39:00-06:00   19.680601  105.297737
2015-07-01 03:42:00-06:00   20.373988  105.130343
2015-07-01 03:45:00-06:00   21.065359  104.957409
2015-07-01 03:48:00-06:00   21.754665  104.778974
2015-07-01 03:51:00-06:00   22.441860  104.595081
2015-07-01 03:54:00-06:00   23.126903  104.405774
2015-07-01 03:57:00-06:00   23.809751  104.211096
2015-07-01 04:00:00-06:00   24.490366  104.011094
2015-07-01 04:03:00-06:00   25.168709  103.805811
2015-07-01 04:06:00-06:00   25.844746  103.595296
2015-07-01 04:09:00-06:00   26.518442  103.379594
2015-07-01 04:12:00-06:00   27.189769  103.158755
2015-07-01 04:15:00-06:00   27.858697  102.932826
2015-07-01 04:18:00-06:00   28.525199  102.701857
2015-07-01 04:21:00-06:00   29.189251  102.465897
2015-07-01 04:24:00-06:00   29.850830  102.224996
2015-07-01 04:27:00-06:00   30.509912  101.979205
2015-07-01 04:30:00-06:00   31.166488  101.728575
2015-07-01 04:33:00-06:00   31.820533  101.473157
2015-07-01 04:36:00-06:00   32.472034  101.213004
2015-07-01 04:39:00-06:00   33.120984  100.948166
2015-07-01 04:42:00-06:00   33.767366  100.678697
2015-07-01 04:45:00-06:00   34.411176  100.404649
2015-07-01 04:48:00-06:00   35.052404  100.126075
2015-07-01 04:51:00-06:00   35.691051   99.843027
2015-07-01 04:54:00-06:00   36.327109   99.555560
2015-07-01 04:57:00-06:00   36.960578   99.263727
2015-07-01 05:00:00-06:00   37.591459   98.967579
2015-07-01 05:03:00-06:00   38.219758   98.667173
2015-07-01 05:06:00-06:00   38.845475   98.362560
2015-07-01 05:09:00-06:00   39.468617   98.053795
2015-07-01 05:12:00-06:00   40.089198   97.740930
2015-07-01 05:15:00-06:00   40.707217   97.424019
2015-07-01 05:18:00-06:00   41.322692   97.103118
2015-07-01 05:21:00-06:00   41.935637   96.778276
2015-07-01 05:24:00-06:00   42.546061   96.449550
2015-07-01 05:27:00-06:00   43.153982   96.116991
2015-07-01 05:30:00-06:00   43.759417   95.780654
2015-07-01 05:33:00-06:00   44.362383   95.440590
2015-07-01 05:36:00-06:00   44.962906   95.096853
2015-07-01 05:39:00-06:00   45.561002   94.749494
2015-07-01 05:42:00-06:00   46.156694   94.398568
2015-07-01 05:45:00-06:00   46.750008   94.044124
2015-07-01 05:48:00-06:00   47.340967   93.686216
2015-07-01 05:51:00-06:00   47.929603   93.324896
2015-07-01 05:54:00-06:00   48.515937   92.960214
2015-07-01 05:57:00-06:00   49.100000   92.592223
2015-07-01 06:00:00-06:00   49.681826   92.220972
2015-07-01 06:03:00-06:00   50.261443   91.846512
2015-07-01 06:06:00-06:00   50.838881   91.468894
2015-07-01 06:09:00-06:00   51.414177   91.088169
2015-07-01 06:12:00-06:00   51.987367   90.704385
2015-07-01 06:15:00-06:00   52.558483   90.317592
2015-07-01 06:18:00-06:00   53.127564   89.927839
2015-07-01 06:21:00-06:00   53.694644   89.535176
2015-07-01 06:24:00-06:00   54.259767   89.139651
2015-07-01 06:27:00-06:00   54.822968   88.741311
2015-07-01 06:30:00-06:00   55.384290   88.340206
2015-07-01 06:33:00-06:00   55.943774   87.936382
2015-07-01 06:36:00-06:00   56.501459   87.529887
2015-07-01 06:39:00-06:00   57.057392   87.120767
2015-07-01 06:42:00-06:00   57.611614   86.709070
2015-07-01 06:45:00-06:00   58.164177   86.294842
2015-07-01 06:48:00-06:00   58.715113   85.878129
2015-07-01 06:51:00-06:00   59.264479   85.458975
2015-07-01 06:54:00-06:00   59.812322   85.037427
2015-07-01 06:57:00-06:00   60.358689   84.613531
2015-07-01 07:00:00-06:00   60.903622   84.187329
2015-07-01 07:03:00-06:00   61.447182   83.758868
2015-07-01 07:06:00-06:00   61.989410   83.328191
2015-07-01 07:09:00-06:00   62.530361   82.895341
2015-07-01 07:12:00-06:00   63.070097   82.460363
2015-07-01 07:15:00-06:00   63.608650   82.023300
2015-07-01 07:18:00-06:00   64.146090   81.584194
2015-07-01 07:21:00-06:00   64.682465   81.143090
2015-07-01 07:24:00-06:00   65.217836   80.700028
2015-07-01 07:27:00-06:00   65.752250   80.255052
2015-07-01 07:30:00-06:00   66.285770   79.808203
2015-07-01 07:33:00-06:00   66.818457   79.359522
2015-07-01 07:36:00-06:00   67.350358   78.909053
2015-07-01 07:39:00-06:00   67.881541   78.456835
2015-07-01 07:42:00-06:00   68.412069   78.002911
2015-07-01 07:45:00-06:00   68.942003   77.547320
2015-07-01 07:48:00-06:00   69.471391   77.090104
2015-07-01 07:51:00-06:00   70.000314   76.631304
2015-07-01 07:54:00-06:00   70.528827   76.170959
2015-07-01 07:57:00-06:00   71.056992   75.709110
2015-07-01 08:00:00-06:00   71.584884   75.245798
2015-07-01 08:03:00-06:00   72.112557   74.781061
2015-07-01 08:06:00-06:00   72.640093   74.314940
2015-07-01 08:09:00-06:00   73.167548   73.847475
2015-07-01 08:12:00-06:00   73.695002   73.378706
2015-07-01 08:15:00-06:00   74.222525   72.908672
2015-07-01 08:18:00-06:00   74.750178   72.437413
2015-07-01 08:21:00-06:00   75.278049   71.964969
2015-07-01 08:24:00-06:00   75.806200   71.491378
2015-07-01 08:27:00-06:00   76.334713   71.016681
2015-07-01 08:30:00-06:00   76.863664   70.540917
2015-07-01 08:33:00-06:00   77.393133   70.064128
2015-07-01 08:36:00-06:00   77.923190   69.586349
2015-07-01 08:39:00-06:00   78.453930   69.107623
2015-07-01 08:42:00-06:00   78.985428   68.627988
2015-07-01 08:45:00-06:00   79.517766   68.147486
2015-07-01 08:48:00-06:00   80.051033   67.666156
2015-07-01 08:51:00-06:00   80.585318   67.184038
2015-07-01 08:54:00-06:00   81.120702   66.701173
2015-07-01 08:57:00-06:00   81.657275   66.217602
2015-07-01 09:00:00-06:00   82.195139   65.733364
2015-07-01 09:03:00-06:00   82.734382   65.248503
2015-07-01 09:06:00-06:00   83.275094   64.763057
2015-07-01 09:09:00-06:00   83.817384   64.277072
2015-07-01 09:12:00-06:00   84.361340   63.790585
2015-07-01 09:15:00-06:00   84.907065   63.303642
2015-07-01 09:18:00-06:00   85.454676   62.816284
2015-07-01 09:21:00-06:00   86.004260   62.328554
2015-07-01 09:24:00-06:00   86.555941   61.840496
2015-07-01 09:27:00-06:00   87.109815   61.352156
2015-07-01 09:30:00-06:00   87.666011   60.863578
2015-07-01 09:33:00-06:00   88.224631   60.374802
2015-07-01 09:36:00-06:00   88.785800   59.885880
2015-07-01 09:39:00-06:00   89.349632   59.396856
2015-07-01 09:42:00-06:00   89.916258   58.907777
2015-07-01 09:45:00-06:00   90.485807   58.418691
2015-07-01 09:48:00-06:00   91.058395   57.929646
2015-07-01 09:51:00-06:00   91.634166   57.440693
2015-07-01 09:54:00-06:00   92.213250   56.951880
2015-07-01 09:57:00-06:00   92.795790   56.463259
2015-07-01 10:00:00-06:00   93.381930   55.974880
