Formatted address: Vancouver, BC, Canada
Coordinates (latitude, longitude): (49.2827291, -123.1207375)
Elevation: (meters AMSL) 43.65213012695312	(feet): 143.215650

Time sequence:
Start: 2015, 10, 01, 00, 00
Stop: 2015, 10, 05, 00, 00
Frequency: 30Min

Ephemeris:
                               azimuth      zenith
2015-10-01 00:00:00-06:00  320.517992  126.975028
2015-10-01 00:30:00-06:00  329.377567  129.794000
2015-10-01 01:00:00-06:00  338.874481  131.938564
2015-10-01 01:30:00-06:00  348.889751  133.306179
2015-10-01 02:00:00-06:00  359.209293  133.822057
2015-10-01 02:30:00-06:00    9.553828  133.455911
2015-10-01 03:00:00-06:00   19.638387  132.229629
2015-10-01 03:30:00-06:00   29.234897  130.211711
2015-10-01 04:00:00-06:00   38.207948  127.501495
2015-10-01 04:30:00-06:00   46.515408  124.210922
2015-10-01 05:00:00-06:00   54.186114  120.450182
2015-10-01 05:30:00-06:00   61.292089  116.319552
2015-10-01 06:00:00-06:00   67.925876  111.906478
2015-10-01 06:30:00-06:00   74.186066  107.285947
2015-10-01 07:00:00-06:00   80.169714  102.522503
2015-10-01 07:30:00-06:00   85.969453   97.672843
2015-10-01 08:00:00-06:00   91.673228   92.788472
2015-10-01 08:30:00-06:00   97.365398   87.918253
2015-10-01 09:00:00-06:00  103.128213   83.110808
2015-10-01 09:30:00-06:00  109.043198   78.416808
2015-10-01 10:00:00-06:00  115.191796   73.891176
2015-10-01 10:30:00-06:00  121.654576   69.595146
2015-10-01 11:00:00-06:00  128.508329   65.597978
2015-10-01 11:30:00-06:00  135.819678   61.977885
2015-10-01 12:00:00-06:00  143.634616   58.821450
2015-10-01 12:30:00-06:00  151.964059   56.220511
2015-10-01 13:00:00-06:00  160.767982   54.265557
2015-10-01 13:30:00-06:00  169.944573   53.035604
2015-10-01 14:00:00-06:00  179.332791   52.586099
2015-10-01 14:30:00-06:00  188.733495   52.938612
2015-10-01 15:00:00-06:00  197.945125   54.076378
2015-10-01 15:30:00-06:00  206.800356   55.947798
2015-10-01 16:00:00-06:00  215.189508   58.476249
2015-10-01 16:30:00-06:00  223.065249   61.572157
2015-10-01 17:00:00-06:00  230.432933   65.143529
2015-10-01 17:30:00-06:00  237.335003   69.103017
2015-10-01 18:00:00-06:00  243.836114   73.371418
2015-10-01 18:30:00-06:00  250.012108   77.878529
2015-10-01 19:00:00-06:00  255.943280   82.562366
2015-10-01 19:30:00-06:00  261.710965   87.367520
2015-10-01 20:00:00-06:00  267.396578   92.243136
2015-10-01 20:30:00-06:00  273.082219   97.140725
2015-10-01 21:00:00-06:00  278.851980  102.011893
2015-10-01 21:30:00-06:00  284.793507  106.805950
2015-10-01 22:00:00-06:00  290.999308  111.467375
2015-10-01 22:30:00-06:00  297.566808  115.933129
2015-10-01 23:00:00-06:00  304.596193  120.129976
2015-10-01 23:30:00-06:00  312.183604  123.972251
2015-10-02 00:00:00-06:00  320.407808  127.361012
2015-10-02 00:30:00-06:00  329.308336  130.186255
2015-10-02 01:00:00-06:00  338.857050  132.334161
2015-10-02 01:30:00-06:00  348.932863  133.700732
2015-10-02 02:00:00-06:00  359.316827  134.210203
2015-10-02 02:30:00-06:00    9.723067  133.832240
2015-10-02 03:00:00-06:00   19.860638  132.589744
2015-10-02 03:30:00-06:00   29.497996  130.552930
2015-10-02 04:00:00-06:00   38.499321  127.823023
2015-10-02 04:30:00-06:00   46.824235  124.513544
